,PersonId,Start_time,End_time,Total_time
0,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:01:12.488333000,0 days 00:01:16.910000000,0 days 00:00:04.421667000
1,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:01:30.756666000,0 days 00:01:31.965000000,0 days 00:00:01.208334000
2,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:01:44.855000000,0 days 00:01:45.438333000,0 days 00:00:00.583333000
3,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:02:20.723333000,0 days 00:02:38.781666000,0 days 00:00:18.058333000
4,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:02:49.336666000,0 days 00:03:02.640000000,0 days 00:00:13.303334000
5,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:03:13.776666000,0 days 00:03:27.540000000,0 days 00:00:13.763334000
6,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:03:48.311666000,0 days 00:04:11.208333000,0 days 00:00:22.896667000
7,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:04:32.521666000,0 days 00:04:33.688333000,0 days 00:00:01.166667000
8,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:04:56.796666000,0 days 00:05:17.565000000,0 days 00:00:20.768334000
9,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:05:28.245000000,0 days 00:05:47.180000000,0 days 00:00:18.935000000
10,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:06:30.890000000,0 days 00:06:32.931666000,0 days 00:00:02.041666000
11,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:06:46.028333000,0 days 00:06:48.156666000,0 days 00:00:02.128333000
12,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:06:59.670000000,0 days 00:07:13.848333000,0 days 00:00:14.178333000
